id,base,nombre_es,nombre_en
,CLA,Administraci¢n y contadur°a,Management and accounting
,PER,Agrociencias,Agricultural sciences
,CLA,Antropolog°a,Anthropology
,CLA,Arte,Arts
,CLA,Bibliotecolog°a y ciencia de la informaci¢n,Library and information science
,PER,Biolog°a,Biology
,CLA,Ciencia pol°tica,Political science
,PER,Ciencia y tecnolog°a,Science and technology
,PER,Ciencias de la computaci¢n,Computer science
,CLA,Ciencias de la comunicaci¢n,Communication studies
,CLA,Demograf°a,Demography
,CLA,Derecho,Law
,CLA,Econom°a,Economics
,CLA,Educaci¢n,Education
,CLA,Filosof°a,Philosophy
,PER,F°sica y astronom°a,Physics and astronomy
,PER,Geociencias,Earth sciences
,CLA,Geograf°a,Geography
,CLA,Historia,History
,PER,Ingenier°a,Engineering
,CLA,Literatura y lingÅ°stica,Literature and linguistics
,PER,Matem†ticas,Mathematics
,PER,Medicina,Medicine
,PER,Medicina veterinaria y zootecnia,Veterinary medicine and animal husbandry
,,Multidisciplinaria,Multidisciplinary
,CLA,Psicolog°a,Psychology
,PER,Qu°mica,Chemistry
,CLA,Relaciones internacionales,International relations
,CLA,Religi¢n,Religion
,CLA,Sociolog°a,Sociology
